BLOCKID|COUNTYFP|DISTRICT
240010008001061|001|04-005
240010008001062|001|04-005
240010008001063|001|04-005
240010008001064|001|04-005
240010008001065|001|04-005
240010008001066|001|04-005
240010008001067|001|04-005
240010008001068|001|04-005
240010008001069|001|04-005
240010008001070|001|04-005
240010008001071|001|04-005
240010008001072|001|04-005
240010008001073|001|04-005
240010008001074|001|04-005
240010008001075|001|04-005
240010008001076|001|04-005
240010008001077|001|04-005
240010008001078|001|04-005
240010008001079|001|04-005
240010008001080|001|04-005
240010008001081|001|04-005
240010008001082|001|04-005
240010008001083|001|04-005
240010008001084|001|04-005
240010008001085|001|04-005
240010008001086|001|04-005
240010008001087|001|04-005
240010008001088|001|04-005
240010008001089|001|04-005
240010008001090|001|04-005
240010008001091|001|04-005
240010008001092|001|04-005
240010008001093|001|04-005
240010008001094|001|04-005
240010008001095|001|04-005
240010008001096|001|04-005
240010008001097|001|04-005
240010008001098|001|04-005
240010008002000|001|04-002
240010008002001|001|04-002
240010008002002|001|04-002
240010008002003|001|04-002
240010008002004|001|04-002
240010008002005|001|04-002
240010008002006|001|04-002
240010008002007|001|04-002
240010008002008|001|04-002
240010008002009|001|04-002
240010008002010|001|04-002
240010008002011|001|04-002
240010008002012|001|04-002
240010008002013|001|04-002
240010008002014|001|04-002
240010008002015|001|04-002
240010008002016|001|04-002
240010008002017|001|04-002
240010008002018|001|04-002
240010008002019|001|04-002
240010008002020|001|04-002
240010008002021|001|04-002
240010008002022|001|04-002
240010008002023|001|04-002
240010008002024|001|04-002
240010008002025|001|04-002
240010008002026|001|04-002
240010008002027|001|04-002
240010008002028|001|04-002
240010008002029|001|04-002
240010008002030|001|04-002
240010010001000|001|05-004
240010010001001|001|05-004
240010010001002|001|05-004
240010010001003|001|05-004
240010010001004|001|05-004
240010010001005|001|05-004
240010010001006|001|05-004
240010010001007|001|05-004
240010010001008|001|05-004
240010010001009|001|05-004
240010010001010|001|05-004
240010010001011|001|05-004
240010010001012|001|05-004
240010010001013|001|05-004
240010010001014|001|05-004
240010010001015|001|05-004
240010010001016|001|05-004
240010010001017|001|05-004
240010010001018|001|05-004
240010010001019|001|14-000
240010010001020|001|14-000
240010010001021|001|14-000
240010010001022|001|05-004
240010010001023|001|05-004
240010010001024|001|05-004
240010010001025|001|05-004
240010010001026|001|05-004
240010010001027|001|05-004
240010010001028|001|05-004
240010010001029|001|05-004
240010010001030|001|05-004
240010010001031|001|05-004
240010010001032|001|05-004
240010010001033|001|05-004
240010010001034|001|05-004
240010010001035|001|05-004
240010010001036|001|05-004
240010010001037|001|05-004
240010010001038|001|05-004
240010010001039|001|05-004
240010010001040|001|05-004
240010010001041|001|23-000
240010010001042|001|23-000
240010010001043|001|23-000
240010010001044|001|23-000
240010010001045|001|23-000
240010010001046|001|23-000
240010010001047|001|23-000
240010010001048|001|23-000
240010010001049|001|23-000
240010010001050|001|05-004
240010010001051|001|05-004
240010010001052|001|05-004
240010010001053|001|23-000
240010010001054|001|23-000
240010010001055|001|23-000
240010010001056|001|05-004
240010010001057|001|14-000
240010010001058|001|14-000
240010010001059|001|14-000
240010010001060|001|23-000
240010010001061|001|23-000
240010010001062|001|14-000
240010010001063|001|23-000
240010010001064|001|23-000
240010010001065|001|23-000
240010010001066|001|23-000
240010010001067|001|23-000
240010010001068|001|14-000
240010010001069|001|14-000
240010010001070|001|14-000
240010010001071|001|14-000
240010010001072|001|05-004
240010010001073|001|23-000
240010010001074|001|23-000
240010010001075|001|23-000
