BLOCKID|DISTRICT
240010008001045|01C
240010008001046|01C
240010008001047|01C
240010008001048|01C
240010008001049|01C
240010008001050|01C
240010008001051|01C
240010008001052|01C
240010008001053|01C
240010008001054|01C
240010008001055|01C
240010008001056|01C
240010008001057|01C
240010008001058|01C
240010008001059|01C
240010008001060|01C
240010008001061|01C
240010008001062|01C
240010008001063|01C
240010008001064|01C
240010008001065|01C
240010008001066|01C
240010008001067|01C
240010008001068|01C
240010008001069|01C
240010008001070|01C
240010008001071|01C
240010008001072|01C
240010008001073|01C
240010008001074|01C
240010008001075|01C
240010008001076|01C
240010008001077|01C
240010008001078|01C
240010008001079|01C
240010008001080|01C
240010008001081|01C
240010008001082|01C
240010008001083|01C
240010008001084|01C
240010008001085|01C
240010008001086|01C
240010008001087|01C
240010008001088|01C
240010008001089|01C
240010008001090|01C
240010008001091|01C
240010008001092|01C
240010008001093|01C
240010008001094|01C
240010008001095|01C
240010008001096|01C
240010008001097|01C
240010008001098|01C
240010008002000|01C
240010008002001|01C
240010008002002|01C
240010008002003|01C
240010008002004|01C
240010008002005|01C
240010008002006|01C
240010008002007|01C
240010008002008|01C
240010008002009|01C
240010008002010|01C
240010008002011|01C
240010008002012|01C
240010008002013|01C
240010008002014|01C
240010008002015|01C
240010008002016|01C
240010008002017|01C
240010008002018|01C
240010008002019|01C
240010008002020|01C
240010008002021|01C
240010008002022|01C
240010008002023|01C
240010008002024|01C
240010008002025|01C
240010008002026|01C
240010008002027|01C
240010008002028|01C
240010008002029|01C
240010008002030|01C
240010010001000|01B
240010010001001|01B
240010010001002|01B
240010010001003|01B
240010010001004|01B
240010010001005|01B
240010010001006|01B
240010010001007|01B
240010010001008|01B
240010010001009|01B
240010010001010|01B
240010010001011|01B
240010010001012|01B
240010010001013|01B
240010010001014|01B
240010010001015|01B
240010010001016|01B
240010010001017|01B
240010010001018|01B
240010010001019|01B
240010010001020|01B
240010010001021|01B
240010010001022|01B
240010010001023|01B
240010010001024|01B
240010010001025|01B
240010010001026|01B
240010010001027|01B
240010010001028|01B
240010010001029|01B
240010010001030|01B
240010010001031|01B
240010010001032|01B
240010010001033|01B
240010010001034|01B
240010010001035|01B
240010010001036|01B
240010010001037|01B
240010010001038|01B
240010010001039|01B
240010010001040|01B
240010010001041|01B
240010010001042|01B
240010010001043|01B
240010010001044|01B
240010010001045|01B
240010010001046|01B
240010010001047|01B
240010010001048|01B
240010010001049|01B
240010010001050|01B
240010010001051|01B
240010010001052|01B
240010010001053|01B
240010010001054|01B
240010010001055|01B
240010010001056|01B
240010010001057|01B
240010010001058|01B
240010010001059|01B
240010010001060|01B
240010010001061|01B
240010010001062|01B
240010010001063|01B
240010010001064|01B
240010010001065|01B
240010010001066|01B
240010010001067|01B
240010010001068|01B
240010010001069|01B
240010010001070|01B
240010010001071|01B
240010010001072|01B
240010010001073|01B
240010010001074|01B
240010010001075|01B
240010010001076|01B
240010010001077|01B
240010010001078|01B
240010010002000|01B
240010010002001|01B
240010010002002|01B
240010010002003|01B
240010010002004|01B
240010010002005|01B
240010010002006|01B
240010010002007|01B
240010010002008|01B
240010010002009|01B
240010010002010|01B
240010010002011|01B
240010010002012|01B
240010010002013|01B
240010010002014|01B
240010010002015|01B
240010010002016|01B
240010010002017|01B
240010010002018|01B
240010010002019|01B
240010010002020|01B
240010010002021|01B
240010010002022|01B
240010010002023|01B
240010010002024|01B
240010010002025|01B
240010010002026|01B
240010010002027|01B
240010010002028|01B
240010010002029|01B
240010010002030|01B
240010010002031|01B
240010010002032|01B
240010010002033|01B
240010010002034|01B
240010010002035|01B
240010010002036|01B
240010010002037|01B
240010010002038|01B
240010010002039|01B
240010010002040|01B
240010010002041|01B
240010010002042|01B
240010010002043|01B
240010010002044|01B
240010010002045|01B
240010010002046|01B
240010011001000|01C
240010011001001|01C
240010011001002|01C
240010011001003|01C
240010011001004|01C
240010011001005|01C
240010011001006|01C
240010011001007|01C
240010011001008|01C
240010011001009|01C
240010011001010|01C
240010011001011|01C
240010011001012|01C
240010011001013|01C
240010011001014|01C
240010011001015|01C
240010011001016|01C
240010011001017|01C
240010011001018|01C
240010011001019|01C
240010011001020|01C
240010011001021|01C
240010011001022|01C
240010011001023|01C
240010011001024|01C
240010011001025|01C
240010011001026|01C
240010011001027|01C
240010011001028|01C
240010011001029|01C
240010011001030|01C
240010011001031|01C
240010011002000|01C
240010011002001|01C
240010011002002|01C
240010011002003|01C
240010011002004|01C
240010011002005|01C
240010011002006|01C
240010011002007|01C
240010011002008|01C
240010011002009|01C
240010011002010|01C
240010011002011|01C
240010011002012|01C
240010011002013|01C
240010011002014|01C
240010011002015|01C
240010011002016|01C
240010011002017|01C
240010011002018|01C
240010011002019|01C
240010011002020|01C
240010011002021|01C
240010011002022|01C
240010011002023|01C
240010011002024|01C
240010011002025|01C
240010011002026|01C
240010011002027|01C
240010011002028|01C
240010011002029|01C
240010011002030|01C
240010011002031|01C
240010011002032|01C
240010011002033|01C
240010011002034|01C
240010011002035|01C
240010012001000|01C
240010012001001|01C
240010012001002|01C
240010012001003|01C
240010012001004|01C
240010012001005|01C
240010012001006|01C
240010012001007|01C
240010012001008|01C
240010012001009|01C
240010012001010|01C
240010012001011|01C
240010012001012|01C
240010012001013|01C
240010012001014|01C
240010012001015|01C
240010012001016|01C
240010012001017|01C
240010012001018|01C
240010012001019|01C
240010012001020|01C
240010012001021|01C
240010012001022|01C
240010012001023|01C
240010012001024|01C
240010012001025|01C
240010012001026|01C
240010012001027|01C
240010012001028|01C
240010012001029|01C
240010012001030|01C
240010012001031|01C
240010012001032|01C
240010012001033|01C
240010012001034|01C
240010012001035|01C
240010012001036|01B
240010012001037|01B
240010012001038|01C
240010012001039|01C
240010012001040|01C
240010012001041|01C
240010012002000|01B
240010012002001|01B
240010012002002|01B
240010012002003|01C
240010012002004|01B
240010012002005|01B
240010012002006|01B
240010012002007|01B
240010012002008|01B
240010012002009|01C
240010012002010|01B
240010012002011|01C
240010012002012|01C
240010012002013|01C
240010012002014|01C
240010012002015|01C
240010012002016|01C
240010012002017|01C
240010012002018|01C
240010012002019|01C
240010012002020|01C
240010012002021|01C
240010012002022|01C
240010012002023|01C
240010012002024|01C
240010012002025|01C
240010012002026|01C
240010012002027|01C
240010012002028|01C
240010012002029|01B
240010012002030|01C
240010012002031|01C
240010012002032|01C
240010012002033|01C
240010012002034|01C
240010012002035|01C
240010012002036|01C
240010012002037|01C
240010012002038|01C
240010012002039|01C
240010012002040|01B
240010012002041|01B
240010012002042|01B
240010012002043|01C
240010012002044|01C
240010012002045|01C
240010012002046|01C
240010012002047|01C
240010012002048|01C
240010012002049|01C
240010012002050|01C
240010013001000|01C
240010013001001|01C
240010013001002|01C
240010013001003|01C
240010013001004|01C
240010013001005|01B
240010013001006|01B
240010013001007|01B
240010013001008|01B
240010013001009|01B
240010013001010|01B
240010013001011|01B
240010013001012|01B
240010013001013|01B
240010013001014|01B
240010013001015|01B
240010013001016|01B
240010013001017|01B
240010013001018|01B
240010013001019|01B
240010013001020|01B
240010013001021|01B
240010013001022|01B
240010013001023|01B
240010013001024|01B
240010013001025|01B
240010013001026|01B
240010013001027|01B
240010013001028|01B
240010013001029|01B
240010013001030|01B
240010013001031|01B
240010013001032|01B
240010013001033|01B
240010013001034|01B
240010013001035|01B
240010013001036|01B
240010013001037|01B
240010013001038|01B
240010013001039|01B
240010013001040|01B
240010013001041|01B
240010013001042|01B
240010013002000|01B
240010013002001|01B
240010013002002|01B
240010013002003|01B
240010013002004|01B
240010013002005|01B
240010013002006|01B
240010013002007|01B
240010013002008|01B
240010013002009|01B
240010013002010|01B
240010013002011|01B
240010013002012|01B
240010013002013|01B
240010013002014|01B
240010013002015|01B
240010013002016|01B
