BLOCKID|PLACEFP
240010015033006|54325
240010015033007|54325
240010015033008|54325
240010015033009|54325
240010015033010|54325
240010015033011|54325
240010015033012|54325
240010015033013|
240010015033014|54325
240010015033015|54325
240010015033016|54325
240010015033017|54325
240010015033018|
240010015033019|
240010015033020|
240010016001000|
240010016001001|
240010016001002|
240010016001003|
240010016001004|
240010016001005|87275
240010016001006|87275
240010016001007|87275
240010016001008|87275
240010016001009|
240010016001010|
240010016001011|87275
240010016001012|87275
240010016001013|87275
240010016001014|87275
240010016001015|87275
240010016001016|87275
240010016001017|87275
240010016001018|87275
240010016001019|
240010016001020|
240010016001021|
240010016001022|30900
240010016001023|
240010016001024|30900
240010016001025|30900
240010016001026|30900
240010016001027|30900
240010016001028|30900
240010016001029|30900
240010016001030|30900
240010016001031|30900
240010016001032|
240010016001033|30900
240010016001034|30900
240010016001035|30900
240010016001036|30900
240010016001037|30900
240010016001038|30900
240010016001039|30900
240010016001040|30900
240010016001041|30900
240010016001042|30900
240010016001043|30900
240010016001044|30900
240010016001045|30900
240010016001046|30900
240010016001047|30900
240010016001048|30900
240010016001049|30900
240010016001050|30900
240010016001051|30900
240010016001052|30900
240010016001053|30900
240010016001054|30900
240010016001055|30900
240010016001056|30900
240010016001057|30900
240010016001058|30900
240010017001000|30900
240010017001001|30900
240010017001002|30900
240010017001003|30900
240010017001004|30900
240010017001005|30900
240010017001006|30900
240010017001007|30900
240010017001008|30900
240010017001009|30900
240010017001010|30900
240010017001011|30900
240010017001012|30900
240010017001013|30900
240010017001014|
240010017001015|34425
240010017001016|30900
240010017001017|34425
240010017001018|34425
240010017001019|34425
240010017001020|34425
240010017001021|34425
240010017001022|34425
240010017001023|30900
240010017001024|34425
240010017001025|30900
240010017001026|30900
240010017001027|30900
240010017001028|30900
240010017001029|
240010017001030|30900
240010017001031|
240010017001032|
240010017001033|34425
240010017001034|34425
240010017001035|34425
240010017001036|34425
240010017001037|34425
240010017001038|30900
240010017001039|
240010017001040|
240010017001041|
240010017001042|
240010017002000|24825
240010017002001|24825
240010017002002|30900
240010017002003|30900
240010017002004|30900
240010017002005|30900
240010017002006|30900
240010017002007|30900
240010017002008|30900
240010017002009|30900
240010017002010|30900
240010017002011|30900
240010017002012|30900
240010017002013|30900
240010017002014|30900
240010017002015|30900
240010017002016|30900
240010017002017|30900
240010017002018|30900
240010017002019|30900
240010017002020|30900
240010017002021|30900
240010017002022|30900
240010017002023|30900
240010017002024|30900
240010017002025|30900
240010017002026|30900
240010017002027|30900
240010017002028|30900
240010017002029|30900
240010017002030|30900
240010017002031|30900
240010017002032|30900
240010017002033|30900
240010017002034|30900
240010017002035|30900
240010017002036|30900
240010017002037|30900
240010017002038|30900
240010017002039|30900
240010017002040|30900
240010017002041|30900
240010017002042|30900
240010017003000|
240010017003001|
240010017003002|
240010017003003|
240010017003004|
240010017003005|30900
240010017003006|30900
240010017003007|30900
240010017003008|30900
240010017003009|30900
240010017003010|30900
240010017003011|30900
240010017003012|30900
240010017003013|30900
240010017003014|30900
240010017003015|30900
240010017003016|30900
240010017003017|30900
240010017003018|30900
240010017003019|30900
240010017003020|30900
240010017003021|30900
240010017003022|24825
240010017003023|24825
240010017003024|24825
240010017003025|24825
240010017003026|
240010017003027|
240010017003028|
240010017003029|
240010017003030|
240010017003031|
240010017003032|30900
240010017003033|30900
240010017003034|30900
240010017003035|30900
240010017003036|30900
240010017003037|30900
240010017003038|30900
240010017003039|30900
240010017003040|30900
240010017003041|30900
240010017003042|24825
240010017003043|24825
240010017003044|24825
240010017003045|24825
240010017003046|24825
240010017003047|24825
240010017003048|24825
240010017003049|24825
240010017003050|24825
240010017003051|24825
240010017003052|24825
240010017003053|24825
240010017003054|24825
240010017003055|30900
240010017003056|
240010017003057|24825
240010017003058|17475
240010017003059|17475
240010017003060|17475
240010017003061|
240010017003062|
240010017003063|
240010017003064|
240010017003065|
240010017003066|30900
240010017003067|30900
240010017003068|
240010017003069|30900
240010018001000|30900
240010018001001|
240010018001002|
240010018001003|30900
240010018001004|
240010018001005|30900
240010018001006|
240010018001007|
240010018001008|
240010018001009|30900
240010018001010|30900
240010018001011|30900
240010018001012|30900
240010018001013|30900
240010018001014|30900
240010018001015|30900
240010018001016|30900
240010018001017|30900
240010018001018|30900
240010018001019|30900
240010018001020|30900
240010018001021|30900
240010018001022|30900
240010018001023|30900
240010018001024|30900
240010018001025|30900
240010018001026|30900
240010018001027|30900
240010018001028|30900
240010018001029|30900
240010018001030|30900
